AppID,Genres
679400,Early Access
1514480,Adventure
1514480,Indie
1368750,Casual
1121310,Casual
1121310,Free to Play
1121310,Indie
1121310,Simulation
1121310,Early Access
1453640,RPG
1453640,Simulation
1453640,Strategy
1453640,Early Access
1389360,Indie
1389360,RPG
1389360,Strategy
429480,Indie
429480,Early Access
1368400,Action
1368400,Indie
1005050,Adventure
1005050,Casual
1005050,Strategy
529040,Casual
529040,Indie
529040,Simulation
694070,Action
694070,Adventure
694070,Indie
694070,RPG
1311210,Action
1311210,Casual
1311210,Free to Play
1311210,Indie
1311210,RPG
1311210,Simulation
1311210,Strategy
1453660,Action
1453660,Adventure
1453660,Indie
1453660,RPG
587580,Indie
587580,Simulation
294440,Adventure
294440,Indie
1309290,Action
1309290,Adventure
1309290,Indie
1309290,RPG
1309290,Simulation
1309290,Early Access
269250,Indie
1228870,Action
633660,Strategy
1274280,Action
1274280,Adventure
1274280,Indie
1791610,Action
1791610,Adventure
1791610,Casual
1791610,Indie
1791610,Strategy
1791610,Early Access
1127500,Casual
1127500,Indie
1127500,Simulation
1127500,Strategy
508650,Action
508650,Adventure
508650,Indie
508650,Strategy
508650,Early Access
358700,Simulation
656740,Action
656740,Indie
656740,RPG
1047950,Action
1047950,Adventure
1047950,Indie
1047950,RPG
1047950,Early Access
1076100,Adventure
1076100,Casual
1076100,RPG
1076100,Strategy
648150,Action
648150,Indie
630900,RPG
630900,Design & Illustration
630900,Utilities
883160,Casual
883160,Indie
783840,Adventure
783840,Indie
783840,RPG
1487140,Indie
1487140,RPG
1696810,Indie
1696810,Simulation
1696810,Early Access
1178000,Adventure
1178000,Casual
1178000,Indie
1138580,Indie
1138580,Simulation
1138580,Strategy
1138580,Early Access
416090,Action
416090,Indie
416090,Simulation
595360,Action
595360,Indie
595360,Simulation
595360,Early Access
1581240,Adventure
1581240,Indie
1581240,RPG
1751990,Action
1751990,Adventure
1751990,Indie
1445500,Adventure
1445500,Indie
1315240,Free to Play
1315240,Indie
404530,Action
404530,Indie
404530,Simulation
404530,Strategy
1137650,Action
1137650,Adventure
1408380,Indie
1408380,Simulation
1049690,Action
1049690,Adventure
1049690,Indie
612840,Casual
612840,Indie
612840,Simulation
1463120,Adventure
1463120,Casual
1463120,Free to Play
1463120,Indie
428410,Action
428410,Adventure
428410,Indie
988110,Indie
1921760,Adventure
1921760,Casual
1921760,Indie
1921760,Simulation
1921760,Strategy
791370,Adventure
791370,RPG
622460,Action
622460,Indie
622460,Strategy
883130,Indie
883130,Simulation
883130,Sports
913570,Adventure
913570,Indie
913570,RPG
1930230,Adventure
1930230,Casual
1930230,Indie
1930230,RPG
351490,Casual
351490,Indie
378360,Indie
378360,Simulation
378360,Strategy
378360,Early Access
1273450,Indie
1273450,Simulation
1273450,Strategy
1059660,Casual
1059660,Indie
1059660,Simulation
1059660,Early Access
820830,Action
820830,Casual
820830,Indie
820830,Simulation
668290,Action
668290,Indie
668290,Strategy
646100,Action
646100,Adventure
646100,Indie
1382310,Indie
1944970,Action
1944970,Adventure
1944970,Casual
1944970,Indie
1944970,Simulation
1534240,Casual
1534240,Indie
1534240,Simulation
1339310,Casual
1339310,Indie
575800,Casual
575800,Indie
575800,Strategy
634120,Adventure
634120,Indie
1843230,Strategy
1434550,Adventure
1434550,Indie
316260,Action
316260,Adventure
604040,Indie
604040,Strategy
1050170,Casual
1050170,Indie
1050170,Strategy
1546120,Action
1546120,Indie
762850,Casual
1221560,Action
1221560,Casual
1221560,Free to Play
1221560,Indie
1221560,Simulation
1939600,Action
1939600,Adventure
1939600,Indie
1939600,RPG
1939600,Early Access
1652800,Casual
1652800,Indie
437530,Action
437530,Adventure
437530,Indie
1583650,Adventure
1583650,Casual
1583650,Simulation
526130,Action
526130,Indie
526130,Sports
1651880,Adventure
1651880,Indie
311120,Action
410670,Action
410670,Adventure
410670,Indie
410670,RPG
1131410,Casual
1131410,Indie
1131410,Simulation
1417890,Adventure
1417890,Casual
1417890,Indie
2006770,Indie
2006770,Simulation
2006770,Strategy
2006770,Early Access
1583840,Adventure
1583840,Indie
1583840,RPG
516940,Action
516940,Casual
516940,Indie
516940,Simulation
1304320,Action
1304320,Adventure
1304320,Casual
1304320,Indie
1304320,RPG
1304320,Simulation
1471960,Casual
1471960,Indie
1471960,Strategy
1350540,Action
1350540,Simulation
1512910,Action
1512910,Casual
511110,Action
511110,Indie
511110,Sports
511110,Early Access
1578750,Action
1578750,Casual
1578750,Indie
1578750,Strategy
1674300,Action
1674300,Casual
1674300,Indie
1674300,Early Access
465750,Strategy
1053660,Action
1053660,Adventure
1053660,Casual
1053660,Indie
1053660,Simulation
605490,Action
605490,Casual
605490,Indie
1253320,Action
1253320,Indie
1253320,Strategy
448960,Action
448960,Adventure
448960,Casual
448960,Indie
1457150,Action
1457150,Adventure
1457150,Free to Play
1457150,Indie
